Tree_Label,Phylum,SS,A,G,O,T,V,C,F,K,M,S
Co_P_Dasci,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Co_P_Derme,Arthropoda ,1,0,0,1,0,0,0,0,0,1,0
Co_P_Derod,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Co_P_Disco,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Co_P_Drili,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Co_P_Dryop,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Co_P_Elate,Arthropoda ,1,0,0,0,0,1,0,1,0,1,0
Co_P_Elmid,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Co_P_Endom,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Co_P_Epime,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Co_P_Eroty,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Co_P_Eucin,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Co_P_Eucne,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Co_P_Eulic,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Co_P_Geori,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Co_P_Geotr,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Co_P_Glaph,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Co_P_Glare,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Co_P_Helop,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Co_P_Helot,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Co_P_Heter,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Co_P_Histe,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Co_P_Hybos,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Co_P_Hydra,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Co_P_Hydroc,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Co_P_Hydrop,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Co_P_Ithyc,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Co_P_Kater,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Co_P_Laemo,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Co_P_Lampy,Arthropoda ,1,0,0,0,0,1,0,1,0,0,0
Co_P_Langu,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Co_P_Latri,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Co_P_Leiod,Arthropoda ,1,0,0,0,1,0,1,0,0,0,0
Co_P_Limni,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Co_P_Lucan,Arthropoda ,1,0,0,0,1,1,1,0,0,0,0
Co_P_Lutro,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Co_P_Lycid,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Co_P_Lymex,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Co_P_Melan,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Co_P_Meloi,Arthropoda ,1,0,0,0,0,1,0,1,0,1,0
Co_P_Melyr,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Co_P_Monot,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Co_P_Morde,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Co_P_Mycet,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Co_P_Nemon,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Co_P_Nitid,Arthropoda ,1,0,0,0,1,0,1,0,0,0,0
Co_P_Nosod,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Co_P_Ochod,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Co_P_Oedem,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Co_P_Omali,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Co_P_Orsod,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Co_P_Passal,Arthropoda ,1,1,0,0,1,0,0,1,0,1,0
Co_P_Passan,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Co_P_Perim,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Co_P_Phala,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Co_P_Pheng,Arthropoda ,1,0,0,1,0,1,0,0,0,1,0
Co_P_Phloe,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Co_P_Phloi,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Co_P_Pleoc,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Co_P_Prion,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Co_P_Propa,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Co_P_Prost,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Co_P_Proto,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Co_P_Pseph,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Co_P_Ptili,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Co_P_Ptilo,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Co_P_Ptini,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Co_P_Pyroc,Arthropoda ,1,0,1,0,0,0,0,1,0,0,0
Co_P_Pythi,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Co_P_Rhipi,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Co_P_Ripip,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Co_P_Salpi,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Co_P_Scara,Arthropoda ,1,0,0,1,1,1,1,1,1,0,0
Co_P_Scirt,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Co_P_Scrap,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Co_P_Scydm,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Co_P_Silph,Arthropoda ,1,0,0,0,1,1,1,0,1,1,0
Co_P_Silva,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Co_P_Sperc,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Co_P_Sphae,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Co_P_Sphin,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Co_P_Staph,Arthropoda ,1,0,0,1,1,0,1,1,0,0,0
Co_P_Synch,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Co_P_Teneb,Arthropoda ,1,0,0,1,1,0,0,1,0,0,0
Co_P_Tetra,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Co_P_Thros,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Co_P_Trict,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Co_P_Trogo,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Co_P_Zophe,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Coll_Bourl,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Coll_Brach,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Coll_Dicyr,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Coll_Entom,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Coll_Hypog,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Coll_Isoto,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Coll_Katia,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Coll_Neanu,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Coll_Neeli,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Coll_Odont,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Coll_Oncop,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
Coll_Onych,Arthropoda ,0,0,0,0,0,0,0,0,0,0,0
